account_id,item_name,status,opened_quantity,spent,closed_quantity,received_post_tax,tax_paid,profit,opened_time,closed_time,updated_time,flip_hash
Ormeth,Iron ore,SELLING,13000,1612000,3934,499618,7868,12968,2025-08-07T19:48:52Z,2025-08-07T20:50:46Z,2025-08-07T20:50:46Z,bdb19165e650e2cd0c7d69298a229cc5101ecf9777ca648e8565db7f9941f4f8
Ormeth,Saradomin brew(4),FINISHED,485,4768035,485,4837875,98455,69840,2025-08-07T20:14:20Z,2025-08-07T20:41:58Z,2025-08-07T20:41:58Z,33afa667adb537d1ce8cd8ad29f570d665e99a3b5d549e74fedf9a98c33186fa
Ormeth,Rune arrow,FINISHED,601,88347,601,93155,1803,4808,2025-08-07T20:23:37Z,2025-08-07T20:36:12Z,2025-08-07T20:36:12Z,1ef763f5a35e61e827e34e88a8f3fe8f6b488ed143fd67517d9c602813908a0f
Ormeth,Enhanced crystal teleport seed,FINISHED,21,49414092,21,49890351,1018164,476259,2025-08-07T19:50:36Z,2025-08-07T20:15:55Z,2025-08-07T20:15:55Z,e6b3a0efc99d4651ed3653f773aa610274b5274173e9bf51c493044209c6aaf2
Ormeth,Antler guard,FINISHED,2,6826364,2,6890581,140623,64217,2025-08-07T19:38:29Z,2025-08-07T20:13:23Z,2025-08-07T20:13:23Z,2b19325315e09eb0165e7db3e30b836af9c381ba081e29787b1d988e4383ad05
Ormeth,Mahogany logs,FINISHED,406,116116,406,119770,2436,3654,2025-08-07T20:07:34Z,2025-08-07T20:11:49Z,2025-08-07T20:11:49Z,c864ec1aa6bf93e5f1a9e2ab4cc8e5b627a1a549c8ac457c60bb714aecad44a0
Ormeth,Coal,FINISHED,13000,2275000,13000,2314000,39000,39000,2025-08-07T19:20:31Z,2025-08-07T19:41:39Z,2025-08-07T19:41:39Z,b6a65e7a880e2211072d26371e87228193dbf07b0461506c474f8bb7f94c5240
Ormeth,Adamant dart,FINISHED,11000,418000,11000,473000,0,55000,2025-08-07T19:19:28Z,2025-08-07T19:21:30Z,2025-08-07T19:21:30Z,68e53aefffdcc14d1f8b280ff876b732eff347b4013e9425493750beb85a72b8
Ormeth,Soul rune,FINISHED,25000,10125000,25000,10250000,200000,125000,2025-08-07T18:50:25Z,2025-08-07T19:16:01Z,2025-08-07T19:16:01Z,c01a7d3ec9efd7038ed5106d6cc7235d6353bdfc681298db33e6bd04b95f7f74
Ormeth,Berserker ring,FINISHED,3,18514857,3,18620106,380001,105249,2025-08-07T19:05:29Z,2025-08-07T19:11:52Z,2025-08-07T19:11:52Z,bf67303b11f528363ad33af51ef451cda899bb4766161c49de847ace110b5642
Ormeth,Manta ray,FINISHED,351,1189539,351,1204983,24570,15444,2025-08-07T18:39:34Z,2025-08-07T19:06:59Z,2025-08-07T19:06:59Z,855eed2e67c81ad756423d645608982faffb0557093e9d910455daec186ff509
Ormeth,Runite bolts,FINISHED,11000,1639000,11000,1672000,33000,33000,2025-08-07T18:16:56Z,2025-08-07T18:54:15Z,2025-08-07T18:54:15Z,7da56cb2680bea92dd5699ccdc71eee5af746c43d8664cdb8b50f025bc03b571
Ormeth,Death rune,FINISHED,25000,3575000,25000,3625000,50000,50000,2025-08-07T18:43:54Z,2025-08-07T18:49:07Z,2025-08-07T18:49:07Z,8034dc5bb42cd352a4e262804897748c9e6a060da9d2585b9ddc4748a17153a4
Ormeth,Amethyst arrow,FINISHED,11000,2684000,11000,2728000,55000,44000,2025-08-07T18:01:02Z,2025-08-07T18:33:04Z,2025-08-07T18:33:04Z,96246afa72cf4fe576b6a72ccd06f8b04dab661c7e2beec6a02aaf6295533448
Ormeth,Revenant ether,FINISHED,30000,5250000,30000,5280000,90000,30000,2025-08-07T17:56:19Z,2025-08-07T18:24:35Z,2025-08-07T18:24:35Z,85419caa718cabcf84048833e30f4635ddc5e1524121e571675fc29e90e665d5
Ormeth,Eclipse moon helm,FINISHED,1,479584,1,494325,10088,14741,2025-08-07T18:01:16Z,2025-08-07T18:22:35Z,2025-08-07T18:22:35Z,76b66823382f410f29bca719260de716b70dba59099dac681511fe5aaaf0715d
Ormeth,Armadyl crossbow,FINISHED,1,31845598,1,32021894,653508,176296,2025-08-07T18:18:16Z,2025-08-07T18:20:28Z,2025-08-07T18:20:28Z,c40bc3a2a931056815383d9ca20daf2890b91345351837f3641c2ad2f155fc26
Ormeth,Obsidian platelegs,FINISHED,4,3574692,4,3601428,73496,26736,2025-08-07T18:02:01Z,2025-08-07T18:19:04Z,2025-08-07T18:19:04Z,e15f059d798bef5de5406b20f25ae904c936ca4f5c1a60d1592ad7b2e6f71ec3
Ormeth,Amulet of avarice,FINISHED,4,1461084,4,1495404,30516,34320,2025-08-07T16:24:49Z,2025-08-07T18:03:01Z,2025-08-07T18:03:01Z,8061f24e0964a95184b5355dfa83edeab7d21664f09107725ca63562678e9035
Ormeth,Chaos rune,FINISHED,7437,505716,7437,528027,7437,22311,2025-08-07T17:44:11Z,2025-08-07T17:58:59Z,2025-08-07T17:58:59Z,c3d5284a118a94c50f0ce78d85f89408e80ef7064eb9c7d000dfb12c17b37972
Ormeth,Sunfire fanatic cuirass,FINISHED,2,6298426,2,6427442,131172,129016,2025-08-07T16:24:10Z,2025-08-07T17:55:54Z,2025-08-07T17:55:54Z,9229c95844377fde524eb89117b4a574b2343a28dab4b2a2e7b0807dcf2b1368
Ormeth,Abyssal dagger (p++),FINISHED,1,3071194,1,3116824,63608,45630,2025-08-07T16:44:43Z,2025-08-07T17:51:32Z,2025-08-07T17:51:32Z,8679878b4cd313a10cc2466d6c500e4d21907a7405e5eee22a0a6a35353f6398
Ormeth,Dragon bones,FINISHED,5374,12639648,5374,12644640,252960,5322,2025-08-07T13:50:35Z,2025-08-07T17:35:11Z,2025-08-07T17:35:11Z,ef9d5f4140df30efd9c9c18fb52aa943be4fb6c5c66651b7801c590cada6c9f5
Ormeth,Nature rune,FINISHED,18000,1638000,18000,1674000,18000,36000,2025-08-07T17:20:43Z,2025-08-07T17:33:32Z,2025-08-07T17:33:32Z,2f4fa1d999acb2ec3b55101d7e3a4a46926d128e838331879139a78ecdc70d08
Ormeth,Demon tear,FINISHED,13000,2873000,13000,2938000,52000,65000,2025-08-07T16:36:05Z,2025-08-07T17:20:07Z,2025-08-07T17:20:07Z,8869317b71f98075f2f9d3b2d54bbfbfe8c18679761ba1e2af22cbdb045e717f
Ormeth,Dragonfire shield,FINISHED,3,11355381,3,11447805,233628,92424,2025-08-07T16:31:27Z,2025-08-07T17:18:20Z,2025-08-07T17:18:20Z,f4314a1ec1ccbb5d5c9088f69aa9388208352458e6f47b8408a0ab8a08de4886
Ormeth,Law rune,FINISHED,18000,2034000,18000,2070000,36000,36000,2025-08-07T16:20:36Z,2025-08-07T17:15:08Z,2025-08-07T17:15:08Z,7ccc0278cf94a479c6a91585b8678253ccf4129cfbf183f7ee936f05927e03d5
Ormeth,Masori mask (f),FINISHED,2,36469648,2,36734744,749688,265096,2025-08-07T15:26:01Z,2025-08-07T16:27:26Z,2025-08-07T16:27:26Z,9dd96a4c5f6b094f55def684befe8d9f20c28938071af964feeb79fcc7f7774f
Ormeth,Blood rune,FINISHED,25000,5175000,25000,5250000,100000,75000,2025-08-07T15:51:22Z,2025-08-07T16:24:58Z,2025-08-07T16:24:58Z,48df1c5f18b5244eb1981df88c477e027f2893978f8b2befd53c129d4dd17c98
Ormeth,Zulrah's scales,FINISHED,30000,5850000,30000,5970000,120000,120000,2025-08-07T15:19:37Z,2025-08-07T16:20:25Z,2025-08-07T16:20:25Z,1df8651aea6cd6e47bc16dc3702a946b11d94c2cc997400f17b4499602ecc96b
Ormeth,Nightmare staff,FINISHED,1,26196497,1,26402681,538830,206184,2025-08-07T13:01:38Z,2025-08-07T16:19:47Z,2025-08-07T16:19:47Z,a7a3e87d2a55d6142cfc935166d3a71cde1ccd7efb9687fe14143a0cbad842af
Ormeth,Hydra leather,FINISHED,2,27713810,2,27974992,570918,261182,2025-08-07T14:59:54Z,2025-08-07T16:13:44Z,2025-08-07T16:13:44Z,7ff1e623bdb624bd814677a54866e409825e74419b750f8bcc7f1d715299b1f9
Ormeth,Cannonball,FINISHED,11000,2068000,11000,2123000,33000,55000,2025-08-07T15:23:15Z,2025-08-07T15:49:29Z,2025-08-07T15:49:29Z,1e9f9a185fe6216665c927bc795df39c05325d8851c9c748cc676a7f149c0460
Ormeth,Burnt page,FINISHED,388,1193876,388,1220648,24832,26772,2025-08-07T15:12:06Z,2025-08-07T15:21:42Z,2025-08-07T15:21:42Z,1a0e0fb4932573f36923e1377eb336e75a9c61ce5df8180a522b8eea5572bc83
Ormeth,Awakener's orb,FINISHED,23,10697415,23,10696357,218270,-1058,2025-08-07T13:38:59Z,2025-08-07T15:17:30Z,2025-08-07T15:17:30Z,3c244dae7755a0b5258cf4996e6de2ea7a83b4275cb4d63eea0e99d5e825be25
Ormeth,Justiciar legguards,FINISHED,1,7181634,1,7326042,149511,144408,2025-08-07T14:32:01Z,2025-08-07T14:45:56Z,2025-08-07T14:45:56Z,cae77961cdf34c97324b401025d2e9f772d3a06fedab3bd2f007b08812ba952f
Ormeth,Death rune,FINISHED,25000,3575000,25000,3625000,50000,50000,2025-08-07T14:23:32Z,2025-08-07T14:40:05Z,2025-08-07T14:40:05Z,4f70da46761b0160943fbee0e053ec3427e06cbb5c066c78d2fd85adbdd15321
Ormeth,Adamant bolts,FINISHED,3669,341217,3669,355893,3669,14676,2025-08-07T14:06:09Z,2025-08-07T14:22:35Z,2025-08-07T14:22:35Z,14462a703f468963811ef7649c67e3d98af694e3520fd5d29b87822be8db1a26
Ormeth,Astral rune,FINISHED,25000,1550000,25000,1600000,25000,50000,2025-08-07T13:00:32Z,2025-08-07T14:21:37Z,2025-08-07T14:21:37Z,c00c4718df1b33bc42ee65d17c8a5d0e1db7dfcdc38f3d7a94a20bf6ae2f6e35
Ormeth,Aether catalyst,FINISHED,24111,3351429,24111,3496095,48222,144666,2025-08-07T13:40:34Z,2025-08-07T14:05:28Z,2025-08-07T14:05:28Z,2c944f814270999e8c4e1337f7ca84741a80d8860455ddefcf1d3933b420b315
Ormeth,Coal,FINISHED,2549,443526,2549,458820,7647,15294,2025-08-07T13:44:14Z,2025-08-07T13:59:33Z,2025-08-07T13:59:33Z,92545d015468fc671cbb371174a5eb83080c696a2553dda47e975fab2bf6953a
Ormeth,Dragon bones,FINISHED,2126,5000352,2126,5032242,102048,31890,2025-08-07T13:29:27Z,2025-08-07T13:43:18Z,2025-08-07T13:43:18Z,2e99669de2bb44944d49de56a4484a05f591fd7a530fa4f8323c676e918a2653
Ormeth,Virtus robe top,FINISHED,1,48169329,1,48482122,989431,312793,2025-08-07T13:00:02Z,2025-08-07T13:30:59Z,2025-08-07T13:30:59Z,bdc37dc81e7d6575f7eff439321e96619bff197e03e68b9a857bcf17a685d982
Ormeth,Rune arrow,FINISHED,11000,1683000,11000,1738000,33000,55000,2025-08-07T13:06:38Z,2025-08-07T13:20:22Z,2025-08-07T13:20:22Z,1964aa40de943ecc8d050dd77af041a22487ee69fe71ed2ec3c570679f6c7ce3
Ormeth,Chaos rune,FINISHED,18000,1206000,18000,1242000,18000,36000,2025-08-07T13:01:51Z,2025-08-07T13:05:52Z,2025-08-07T13:05:52Z,754f2a270cfb522c2b2b251ae680e63b8b89072cba03492c28997244235ce096
Ormeth,Obsidian platelegs,FINISHED,37,30634224,37,31807420,649128,1173196,2025-08-07T02:12:55Z,2025-08-07T11:43:45Z,2025-08-07T11:43:45Z,5a11c594048a94afef1c7e85383300133eb9d28c2a83340a62894ec48de39137
Ormeth,Dragon dart tip,FINISHED,6886,10700844,6886,11265496,227238,564652,2025-08-07T02:32:18Z,2025-08-07T11:43:45Z,2025-08-07T11:43:45Z,12b7e69cf3762801518769f60ff14d4a18c99bb07e65f6caac0b110347dbebdd
Ormeth,Dragon bones,FINISHED,1230,2814240,1230,2899110,59040,84870,2025-08-07T02:32:18Z,2025-08-07T11:43:45Z,2025-08-07T11:43:45Z,0224ae148c45687bab047f3f2d192f349e0a50ae21694cb3056485d52ffa0604
Ormeth,Superantipoison(4),FINISHED,45,128385,45,138735,2790,10350,2025-08-07T02:41:43Z,2025-08-07T11:43:45Z,2025-08-07T11:43:45Z,e8d23e1d91dc3d8dd4ec05b1c9e5acd68bafce5d412f343199ee904fc5b7d983
Ormeth,Runite bolts,FINISHED,855,117990,855,122265,1710,4275,2025-08-07T01:25:52Z,2025-08-07T11:43:45Z,2025-08-07T11:43:45Z,152ee3744293004130ff8422da599ee50aacc2cf4c374b4d2467d61982b43639
